Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y,RB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,Match Report,2.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y,DM,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,3.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y,FW,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,3.0,0.0,1.0,0.0,0.0,0.0,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y,CM,89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,3.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,N,,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,N,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,N,,22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y*,FW,85,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
23-01-2022,Sun,Africa Cup of Nations,Round of 16,Neutral,W 1–0,tn Tunisia,ng Nigeria,Y,CB,90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,,,,,,,,,,2.0,,,,,,,0.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y*,FW,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,FW,90,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,
