Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y*,FW,90,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,0.0,,,,Match Report,27.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,15.0,20.0,75.0,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y,RM,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,Match Report,63.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,42.0,62.0,67.7,4.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,N,LW,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,7.0,0.0,0.0,0.0,0.0,0.5,2.0,2.0,5.0,6.0,83.3,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,65.7,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y,RW,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,70.8,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y,CM,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,,,,Match Report,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,55.0,81.8,3.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y,CM,87,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,3.0,,,,Match Report,53.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,43.0,95.3,2.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,N,CM,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29-06-2021,Tue,UEFA Euro,Round of 16,Neutral,W 2–0,eng England,de Germany,Y,"LW,RW",90,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,0.0,,,,Match Report,40.0,2.0,0.0,0.8,0.8,0.0,1.0,0.0,20.0,26.0,76.9,0.0,3.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,LB,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,,,,Match Report,106.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,102.0,83.3,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,GK,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,48.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,CB,120,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,88.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,75.0,81.0,92.6,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,AM,94,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,0.0,,,,Match Report,47.0,1.0,1.0,0.1,0.1,0.2,7.0,0.0,31.0,39.0,79.5,4.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,"DM,CM",120,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,2.0,,,,Match Report,97.0,3.0,3.0,0.1,0.1,0.1,1.0,0.0,75.0,84.0,89.3,4.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,"RB,CB",120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.0,,,,Match Report,100.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,87.0,98.0,88.8,6.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,DM,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,,,,Match Report,69.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,63.0,95.2,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,N,LW,37,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,0.0,,,,Match Report,24.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,17.0,19.0,89.5,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,N,"LM,AM",26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,23.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,19.0,22.0,86.4,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
07-07-2021,Wed,UEFA Euro,Semi-finals,Home,W 2–1,eng England,dk Denmark,Y,CB,120,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,,,,,,5.0,,,,Match Report,108.0,2.0,2.0,0.1,0.1,0.0,1.0,0.0,81.0,91.0,89.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
