Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y*,FW,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,CB,90,2,1,0,2,0,0,2,0,2,6,4,2,1,3,3,0,Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,RW,90,1,0,0,1,0,1,1,100,0,0,0,0,2,3,2,0,Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,GK,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,DM,90,2,1,1,1,0,1,2,50,1,0,0,0,1,3,1,0,Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,FW,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y*,FW,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,CB,90,1,1,0,1,0,0,2,0,2,1,1,0,3,4,1,0,Match Report
