Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
23-03-2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–1,es Spain,no Norway,Y,FW,90,,0,,,,,,,,,,,0,,,,Match Report
23-03-2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–1,es Spain,no Norway,Y,FW,88,,0,,,,,,,,,,,0,,,,Match Report
23-03-2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–1,es Spain,no Norway,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
23-03-2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–1,es Spain,no Norway,Y,LB,90,,2,,,,,,,,,,,1,,,,Match Report
23-03-2019,Sat,UEFA Euro Qualifying,Group stage,Home,W 2–1,es Spain,no Norway,N,,15,,0,,,,,,,,,,,0,,,,Match Report
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–0,es Spain,mt Malta,Y,FW,90,,1,,,,,,,,,,,0,,,,Match Report
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–0,es Spain,mt Malta,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–0,es Spain,mt Malta,Y,LB,90,,1,,,,,,,,,,,1,,,,Match Report
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–0,es Spain,mt Malta,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–0,es Spain,mt Malta,Y,FW,78,,0,,,,,,,,,,,1,,,,Match Report
26-03-2019,Tue,UEFA Euro Qualifying,Group stage,Away,W 2–0,es Spain,mt Malta,Y,CM,90,,2,,,,,,,,,,,0,,,,Match Report
09-05-2019,Thu,UEFA Euro Qualifying,Group stage,Away,W 2–1,es Spain,ro Romania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-05-2019,Thu,UEFA Euro Qualifying,Group stage,Away,W 2–1,es Spain,ro Romania,N,,15,,0,,,,,,,,,,,0,,,,Match Report
09-05-2019,Thu,UEFA Euro Qualifying,Group stage,Away,W 2–1,es Spain,ro Romania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-05-2019,Thu,UEFA Euro Qualifying,Group stage,Away,W 2–1,es Spain,ro Romania,Y,CM,90,,2,,,,,,,,,,,2,,,,Match Report
09-05-2019,Thu,UEFA Euro Qualifying,Group stage,Away,W 2–1,es Spain,ro Romania,Y,LB,90,,0,,,,,,,,,,,1,,,,Match Report
09-05-2019,Thu,UEFA Euro Qualifying,Group stage,Away,W 2–1,es Spain,ro Romania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,Y,LB,90,,0,,,,,,,,,,,0,,,,Match Report
06-07-2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,N,,35,,0,,,,,,,,,,,0,,,,Match Report
