Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,CM,67,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,GK,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,0,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,DM,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
19-05-2018,Sat,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,uz Uzbekistan,Y*,CM,58,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,DM,57,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,,33,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,CM,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,FW,74,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,,16,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,FW,79,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,CB,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,,33,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,FW,57,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
28-05-2018,Mon,Friendlies (M),Friendlies (M),Away,L 1–2,ir IR Iran,tr Turkey,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,RM,84,0,0,0,0,2,1,1,0,28,4,2,1,0.1,0.1,0,1,0,10,19,52.6,1,2,2,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,LB,90,0,0,0,0,2,0,0,0,45,0,0,1,0.1,0.1,0,1,0,14,36,38.9,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"CB,DM",11,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,2,100,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,CB,90,0,0,0,0,0,0,0,0,28,0,1,1,0,0,0,0,0,13,22,59.1,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,"CB,DM",90,0,0,0,0,1,0,0,0,22,2,1,1,0.1,0.1,0,0,0,9,12,75,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,GK,90,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8,23,34.8,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"LM,RM",23,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,100,0,1,1,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,CM,90,0,0,0,0,0,0,0,0,32,1,2,1,0,0,0.7,2,0,13,23,56.5,1,1,1,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,FW,90,0,0,0,0,2,1,0,0,37,2,1,0,0.8,0.8,0,3,0,9,24,37.5,1,1,1,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,"LM,CM",90,0,0,0,0,1,0,1,0,26,3,2,0,0.1,0.1,0.1,2,0,11,17,64.7,1,0,1,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,N,"LM,RM",6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,0,0,Match Report,,,,,,,,
15-06-2018,Fri,FIFA World Cup,Group stage,Neutral,W 1–0,ir IR Iran,ma Morocco,Y,RB,90,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0,1,0,20,34,58.8,1,0,0,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,CM,85,0,0,0,0,1,0,1,0,30,0,2,0,0,0,0.5,4,0,13,22,59.1,2,2,2,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,5,21,23.8,0,0,0,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,N,LB,22,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,7,12,58.3,0,0,0,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,RB,90,0,0,0,0,0,0,0,0,42,6,0,1,0,0,0.1,4,1,17,31,54.8,2,2,2,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,N,LM,17,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,5,7,71.4,1,0,0,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y*,LB,68,0,0,0,0,0,0,0,0,32,0,2,1,0,0,0,0,0,19,25,76,2,1,1,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,FW,90,0,0,0,0,2,0,0,0,26,0,0,1,0.1,0.1,0,0,0,6,16,37.5,1,0,2,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,DM,90,0,0,0,0,0,0,0,0,39,1,3,4,0,0,0,0,0,19,24,79.2,1,2,2,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,LM,73,0,0,0,0,2,0,0,0,24,1,1,0,0.1,0.1,0,0,0,9,15,60,2,0,0,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,CB,90,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,11,16,68.8,2,1,1,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,N,CM,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,CB,90,0,0,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,15,17,88.2,1,0,0,Match Report,,,,,,,,
20-06-2018,Wed,FIFA World Cup,Group stage,Neutral,L 0–1,ir IR Iran,es Spain,Y,RM,90,0,0,0,0,2,0,0,0,36,3,3,2,0.5,0.5,0,1,0,9,20,45,0,1,2,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,CB,90,0,0,0,0,0,0,0,0,30,3,1,3,0,0,0,1,0,15,19,78.9,0,0,0,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,N,LB,35,0,0,0,0,0,0,0,0,16,3,3,0,0,0,0,0,0,3,6,50,0,2,2,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,RM,69,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0.1,4,0,12,21,57.1,2,1,1,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,CM,90,0,0,0,0,1,0,0,0,32,3,3,2,0,0,0,0,0,13,20,65,3,0,1,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,"LM,RM",90,0,0,0,0,1,0,0,0,32,1,4,2,0.4,0.4,0,0,0,11,20,55,2,0,1,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y*,LB,55,0,0,0,0,0,0,1,0,20,3,0,0,0,0,0,1,0,10,11,90.9,1,1,1,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,RB,90,0,0,0,0,1,0,0,0,40,0,1,0,0.1,0.1,0,1,1,17,33,51.5,5,0,0,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,15,28,53.6,0,0,0,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,N,LM,21,0,0,0,0,2,0,0,0,4,0,0,0,0.1,0.1,0,1,0,1,1,100,0,0,0,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,CB,90,0,0,0,0,0,0,0,0,22,0,1,1,0,0,0,0,0,15,20,75,1,0,0,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,DM,74,0,0,0,0,1,1,0,0,33,1,3,3,0.1,0.1,0,0,0,12,19,63.2,1,1,1,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,N,CM,16,1,0,1,1,0,0,0,0,5,0,1,0,0.8,0,0,0,0,1,2,50,0,1,1,Match Report,,,,,,,,
25-06-2018,Mon,FIFA World Cup,Group stage,Neutral,D 1–1,ir IR Iran,pt Portugal,Y,FW,90,0,0,0,0,0,0,1,0,29,1,1,2,0,0,0.1,3,0,12,20,60,2,1,2,Match Report,,,,,,,,
06-08-2018,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,ir IR Iran,lt Lithuania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
