Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,,33,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y,RW,60,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y,FW,60,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y*,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,N,,19,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,N,,30,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-11-2020,Wed,Friendlies (M),Friendlies (M),Away,D 1–1,es Spain,nl Netherlands,Y,LB,28,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,Match Report,,,,,,,,
