Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,26,0,0,0,0,0,0,0,22,25,88,0,0,0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,FW,90,0,1,0,0,2,1,0,0,,,,,,0,,,,Match Report,42,0,0,0.6,0.6,0.1,4,2,33,36,91.7,0,0,1
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,Y,RW,69,0,1,0,0,0,0,0,0,,,,,,2,,,,Match Report,36,1,1,0,0,0.2,3,3,25,29,86.2,2,0,0
24-06-2018,Sun,FIFA World Cup,Group stage,Neutral,W 6–1,eng England,pa Panama,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y*,DM,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,64,0,0,0,0,0,1,0,55,62,88.7,6,1,1
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,37,0,0,0,0,0,0,0,27,33,81.8,0,0,0
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,RW,90,0,0,0,0,1,0,0,0,,,,,,2,,,,Match Report,76,1,1,0.1,0.1,0.1,4,0,53,67,79.1,4,0,1
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,CB,45,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,35,0,2,0,0,0,3,0,28,32,87.5,1,1,1
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,CB,45,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,31,0,2,0,0,0,1,0,26,27,96.3,2,0,0
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
